LogPoint,NEED_HUNGER,NEED_THIRST,NEED_EDUCATION,NEED_COMMUNICATION,NEED_FAITH,SLEEP,WORK,EXHAUSTION
25,0.7936175,0.578783,0.924476,0.9334548,0.9513589,0.349405,0.273237,0.9995638,0.8562631
26,0.7807643,0.5616953,0.9231598,0.9305677,0.9507902,0.3699466,0.300354,0.9987549,0.8572292
27,0.7670631,0.5434664,0.9213929,0.9275671,0.9499803,0.3958929,0.329279,0.9972913,0.8592327
28,0.7527683,0.5248941,0.9209212,0.9249882,0.9492533,0.4148858,0.3597502,0.9949818,0.8629018
29,0.7378709,0.5064164,0.9200744,0.921769,0.9484245,0.4389581,0.3914914,0.9916382,0.8662879
30,0.7223611,0.4879324,0.9184036,0.9184301,0.9475852,0.4662827,0.4242153,0.987165,0.8721339
31,0.7062302,0.470328,0.9165546,0.9149693,0.9467354,0.4890176,0.4576254,0.9814392,0.8786386
32,0.6894695,0.4595343,0.9153378,0.9113849,0.9458748,0.5028489,0.4914194,0.9743071,0.8837033
33,0.6720698,0.4462031,0.9141052,0.9076747,0.9450035,0.5214025,0.5252911,0.9657695,0.8889304
34,0.655091,0.4437795,0.9131852,0.9038369,0.9441214,0.5318022,0.5589336,0.9557985,0.894852
35,0.638267,0.4428958,0.9115899,0.8998696,0.9432283,0.5371022,0.5920426,0.9444172,0.9005386
37,0.6245739,0.4492088,0.9096328,0.8957708,0.9423245,0.5419601,0.624374,0.931693,0.9053476
38,0.6096618,0.4565558,0.9076442,0.8915392,0.9414093,0.553962,0.6558495,0.917478,0.9095347
39,0.596279,0.459243,0.9056237,0.8871725,0.940483,0.5653092,0.6863482,0.9017506,0.9128779
40,0.5886745,0.4566807,0.9035713,0.8838339,0.940916,0.577172,0.7158007,0.8845072,0.9179267
41,0.5828116,0.468795,0.9014868,0.8792171,0.9399786,0.5988994,0.7441484,0.8657838,0.9219248
42,0.5774143,0.4725322,0.8993696,0.8756106,0.9390299,0.6158429,0.7713492,0.8456498,0.9268741
43,0.5724388,0.4747777,0.8972198,0.8707869,0.9380699,0.6310323,0.7972833,0.8241724,0.9316393
44,0.5739623,0.4758938,0.895037,0.8683103,0.9370984,0.6352378,0.8218768,0.801397,0.9348258
45,0.5787696,0.4884866,0.892821,0.864377,0.9361153,0.6296653,0.8451118,0.7773483,0.9383239
46,0.58512,0.5138661,0.8905714,0.8615239,0.9351208,0.6053047,0.8668565,0.7519951,0.9421131
47,0.5916421,0.5350633,0.8882882,0.8588868,0.934796,0.5787262,0.8870083,0.7252731,0.9448375
49,0.5985917,0.5522055,0.8859711,0.8549182,0.934235,0.5563116,0.9054651,0.6971986,0.9469579
50,0.6101826,0.5692365,0.8836197,0.8535284,0.9332153,0.5340139,0.9220836,0.6678098,0.9520891
51,0.6139467,0.5771644,0.881234,0.8528862,0.9326136,0.5196984,0.9369616,0.6371308,0.955604
52,0.6201802,0.5881928,0.8788138,0.8482161,0.9318125,0.5167986,0.9501318,0.605276,0.9619001
53,0.6232613,0.6139148,0.8763586,0.8439237,0.9312012,0.5058398,0.9616166,0.5724701,0.9697195
54,0.6271614,0.6266127,0.8738684,0.8428702,0.9316877,0.5037106,0.9714339,0.5390078,0.9774541
55,0.6348369,0.6384871,0.871343,0.8436508,0.9322138,0.4944092,0.9796018,0.5051923,0.9833088
56,0.6494834,0.6718653,0.868782,0.8399179,0.9318921,0.4762275,0.9861513,0.4713297,0.9859214
57,0.6618961,0.6830395,0.8670581,0.8394784,0.9330973,0.4680349,0.9911737,0.4377269,0.9876974
58,0.6643938,0.7077553,0.866459,0.8384504,0.9327955,0.4621423,0.9947999,0.4046879,0.9880894
59,0.6735883,0.7485735,0.8676752,0.8363556,0.9326766,0.4356264,0.997235,0.3725121,0.9872662
61,0.6908903,0.769253,0.8698505,0.8363135,0.9319769,0.4178878,0.9987571,0.3414908,0.9859293
62,0.7137002,0.7985942,0.8744093,0.8369691,0.9315227,0.3950712,0.9995806,0.3119051,0.985124
63,0.7340087,0.8098004,0.8776342,0.8368534,0.9309365,0.3758537,0.9999151,0.2840227,0.9846327
64,0.7456421,0.8209941,0.8809466,0.8367957,0.9316513,0.360958,0.9999953,0.2580963,0.983927
65,0.7644721,0.8245592,0.8846045,0.845071,0.9320529,0.3442104,1,0.2343605,0.9814717
66,0.7791137,0.8242373,0.887995,0.8467366,0.931485,0.3261998,1,0.2130305,0.9804026
67,0.7966613,0.8417455,0.8876804,0.8473614,0.9318668,0.2812733,1,0.1942993,0.9795896
68,0.8133384,0.8468329,0.889475,0.848048,0.9317352,0.2484425,1,0.1783365,0.9772734
69,0.8419093,0.8516291,0.8905185,0.8463579,0.9314005,0.2131102,1,0.1652868,0.9740402
70,0.8536441,0.8508781,0.8936411,0.8454317,0.9325936,0.1898347,1,0.1552683,0.9712403
71,0.8827726,0.8458747,0.8941988,0.8435767,0.934258,0.1494542,1,0.1483717,0.967629
73,0.8911644,0.8312088,0.8964424,0.8400563,0.934166,0.139596,1,0.1446595,0.9645722
74,0.9021715,0.8168981,0.8990905,0.8377836,0.9333985,0.133265,1,0.1441654,0.9621865
75,0.9097974,0.8003771,0.9016589,0.8351964,0.9347079,0.1308313,1,0.1468937,0.9602071
76,0.9123182,0.7827789,0.9025789,0.8322237,0.9345537,0.1381056,1,0.1528197,0.9570719
77,0.9195911,0.7642887,0.9052268,0.8296842,0.9350473,0.1384629,1,0.16189,0.9558521
78,0.9265199,0.7446665,0.9059429,0.8272699,0.9358241,0.1462363,1,0.1740222,0.9537883
79,0.9253526,0.724951,0.908115,0.8248507,0.9362515,0.1608975,1,0.1891064,0.9522349
80,0.9192156,0.7080042,0.9111769,0.82175,0.9368629,0.1761923,1,0.2070062,0.9505769
81,0.9124109,0.6858417,0.9160095,0.8166157,0.9361516,0.1998185,1,0.2275594,0.9493036
82,0.904362,0.6639463,0.9178874,0.8124675,0.9351435,0.2188752,1,0.2505798,0.9476078
83,0.8958203,0.6426857,0.9235479,0.8074031,0.9341238,0.2324549,1,0.275859,0.9461667
85,0.886773,0.6165982,0.9303913,0.8009931,0.9333571,0.2579701,1,0.3031681,0.9445627
86,0.8772089,0.5898497,0.9361094,0.7948258,0.9325185,0.2810345,1,0.3322597,0.9423347
87,0.8671167,0.5627592,0.9403671,0.7881297,0.9314691,0.3027094,1,0.3628704,0.9409639
88,0.8564851,0.535643,0.9449207,0.7812815,0.9304078,0.3259036,1,0.3947229,0.9396823
89,0.8453037,0.508711,0.9458837,0.7742797,0.9293346,0.3560289,1,0.4275289,0.938587
90,0.8335617,0.4813592,0.9459829,0.7671223,0.9282491,0.3924986,1,0.4609911,0.9376977
91,0.8212489,0.4541468,0.9452331,0.7598079,0.9271513,0.4245539,1,0.4948066,0.9363806
92,0.8077465,0.4304151,0.9429852,0.7562581,0.9261106,0.4497155,1,0.5286711,0.935105
93,0.7942278,0.4029589,0.9419402,0.7487313,0.9249889,0.4810225,1,0.562274,0.9344793
94,0.7801081,0.3752203,0.9408594,0.7410439,0.9238546,0.5054482,1,0.5953131,0.9342765
95,0.7653779,0.3475866,0.9394391,0.7331939,0.9227081,0.5319549,1,0.627561,0.9332291
97,0.7500278,0.3207249,0.9379918,0.7251801,0.921549,0.5686767,1,0.6589463,0.9337947
98,0.7340485,0.2951074,0.9365171,0.7170008,0.9203776,0.5967022,1,0.6893408,0.9336852
99,0.7174312,0.2719106,0.9350147,0.7086547,0.919193,0.6244903,1,0.7186866,0.9343397
100,0.7001667,0.2493955,0.9334842,0.7001403,0.917996,0.664585,1,0.7469225,0.93454
101,0.6822465,0.2274294,0.9319255,0.6914559,0.9167862,0.6935963,1,0.7740018,0.9352353
102,0.6636618,0.2101915,0.9303381,0.6826005,0.9155636,0.7278625,1,0.799805,0.9354896
103,0.6444041,0.1983892,0.9287219,0.6773703,0.914328,0.7669428,1,0.8242618,0.9361688
104,0.624465,0.1878315,0.9270766,0.6682477,0.9130794,0.7962798,1,0.8473567,0.9368462
105,0.6038361,0.1850273,0.9254018,0.6600423,0.9118178,0.8267983,1,0.868944,0.9372217
106,0.582531,0.176436,0.9236972,0.6505938,0.9105433,0.8493075,1,0.8889332,0.9374862
107,0.5605751,0.1762629,0.9219627,0.6409683,0.9092555,0.8667598,1,0.9072112,0.9375977
109,0.5393492,0.1732152,0.920198,0.6326157,0.9079545,0.8814155,0.999944,0.9236475,0.9368159
110,0.5177831,0.1791015,0.9184026,0.6226612,0.9066402,0.8931551,0.9996182,0.9383566,0.9361616
111,0.4957827,0.1829839,0.9165765,0.6138108,0.9053127,0.9152684,0.9988609,0.9513555,0.9355607
112,0.4784404,0.1870217,0.9147196,0.6035258,0.9039717,0.9300577,0.9974727,0.9626727,0.9347954
113,0.4659951,0.2068872,0.9128312,0.5942616,0.9026173,0.9305962,0.9952579,0.9723259,0.9345413
114,0.4498209,0.2333426,0.9109112,0.5859826,0.9012493,0.924603,0.9920219,0.9803277,0.9344066
115,0.4377005,0.2661071,0.9089597,0.5779876,0.9001012,0.9259399,0.9876674,0.9867206,0.9335828
116,0.4252839,0.2954456,0.9069759,0.5699379,0.8993668,0.9197865,0.982073,0.9915962,0.9328207
117,0.4145834,0.3369669,0.90496,0.5614629,0.8982,0.9037321,0.9750845,0.9950916,0.9323493
118,0.4075228,0.3724874,0.9029115,0.5545177,0.8970219,0.8983887,0.9666867,0.9974241,0.9310514
119,0.3979034,0.3916609,0.9008303,0.5477629,0.8963446,0.8930669,0.956861,0.998867,0.9300402
121,0.3906923,0.4042127,0.8987162,0.5364501,0.8960908,0.8868366,0.9456163,0.9996323,0.9286236
122,0.3944778,0.4328575,0.8965688,0.532989,0.8961681,0.8733577,0.9330303,0.9999295,0.9270893
123,0.4040828,0.4642309,0.8943882,0.5252976,0.8962587,0.8581414,0.9189689,0.999998,0.9249215
124,0.4197915,0.4866896,0.8921737,0.5210438,0.8958138,0.8462896,0.903392,1,0.9234904
125,0.4369001,0.5116792,0.8899254,0.515659,0.8958855,0.8295277,0.886299,1,0.9213682
126,0.4693181,0.5476784,0.8876429,0.507161,0.8952052,0.8056083,0.8677223,1,0.919299
127,0.4910587,0.5903823,0.8853261,0.5031517,0.8952532,0.7801968,0.8477241,1,0.9176984
128,0.5051332,0.618451,0.8836884,0.5008752,0.8945222,0.7700979,0.8263798,1,0.9161177
129,0.5103575,0.658851,0.8820869,0.4974273,0.8933238,0.7525425,0.8037323,1,0.9125323
130,0.5104795,0.7020677,0.8796853,0.5100742,0.8931046,0.720949,0.7798101,1,0.9106568
131,0.5268522,0.7279689,0.8780317,0.51918,0.8936661,0.6933864,0.7545923,1,0.9092051
133,0.5404306,0.7578265,0.8755696,0.5264924,0.8937865,0.6814359,0.7280069,1,0.9080395
134,0.5541053,0.7774115,0.8748528,0.5430288,0.8936251,0.6610684,0.7000664,1,0.907158
135,0.5721722,0.7937558,0.8759111,0.567944,0.8933979,0.6258823,0.6708071,1,0.9059119
136,0.5891438,0.8115514,0.874699,0.5949317,0.8950997,0.5887393,0.6402555,1,0.9046135
137,0.625339,0.8321222,0.8751568,0.6184167,0.894958,0.5385295,0.6085097,1,0.9030825
138,0.6567627,0.8446103,0.8743715,0.6263148,0.8950192,0.5077714,0.575786,1,0.9011775
139,0.6847388,0.8556908,0.8761719,0.6435779,0.895522,0.4703228,0.5423757,1,0.8995039
140,0.7139608,0.8614621,0.8786817,0.6511364,0.8969573,0.447597,0.5085818,1,0.8968819
141,0.7387595,0.8762808,0.8803579,0.6689216,0.8984241,0.4218876,0.4747101,1,0.8941616
142,0.7717351,0.8715849,0.8813229,0.6826601,0.903881,0.3959417,0.4410674,1,0.8927168
143,0.787644,0.8683713,0.881714,0.6968712,0.9096181,0.3717535,0.4079585,1,0.8901162
