LogPoint,NEED_HUNGER,NEED_THIRST,NEED_EDUCATION,NEED_COMMUNICATION,NEED_FAITH,RECREATION,SLEEP,WORK,EXHAUSTION
51,0.3604788,0.380193,0.5980773,0.4281008,0.4575312,0.9592898,0.9567801,0.6407541,0.9126684
52,0.3482424,0.4080698,0.5954688,0.4274119,0.4592046,0.9544494,0.9667782,0.6045006,0.9179977
53,0.3369569,0.432757,0.5932182,0.4292925,0.4601043,0.9484468,0.9751097,0.5673044,0.9215648
54,0.3278464,0.465216,0.5912635,0.430712,0.4625465,0.9408095,0.9818914,0.5294988,0.924664
55,0.3176993,0.4966983,0.5898116,0.4309343,0.4651947,0.9371611,0.9872385,0.491426,0.9276041
56,0.3090068,0.5289447,0.5886899,0.4319279,0.4679154,0.9300107,0.9913156,0.4534309,0.930878
57,0.3017989,0.5604631,0.5875725,0.4325493,0.4728715,0.921893,0.9943059,0.4158575,0.9327008
58,0.2974548,0.5943774,0.5884724,0.435412,0.4760761,0.9140359,0.9965061,0.3790461,0.9338883
59,0.2922597,0.6218039,0.5891169,0.4364378,0.478166,0.9066664,0.9980924,0.34333,0.934141
61,0.2896617,0.6490782,0.590199,0.4375574,0.4834863,0.895757,0.9991108,0.3090328,0.9350925
62,0.2847814,0.6726744,0.5919752,0.440781,0.4860356,0.8899741,0.9996753,0.2764651,0.9345832
63,0.2820723,0.6918841,0.5950352,0.4433504,0.48963,0.8857312,0.9999112,0.2459216,0.933879
64,0.2823586,0.7118531,0.5965793,0.4477132,0.4945528,0.8787413,0.9999927,0.2176792,0.9325135
65,0.2822337,0.7266258,0.5995478,0.4546304,0.498689,0.8728763,1,0.1919935,0.9310239
66,0.2838135,0.7348155,0.6026146,0.4594187,0.5026239,0.8672771,1,0.1690971,0.9284608
67,0.287323,0.7439237,0.6037481,0.4630089,0.5054049,0.8618127,1,0.1491975,0.9264184
68,0.2902034,0.7486215,0.6060845,0.4700909,0.5094194,0.8567071,1,0.1324747,0.9249758
69,0.2921072,0.7493975,0.606456,0.4757869,0.5119015,0.8536861,1,0.1190803,0.923097
70,0.2945423,0.7451952,0.6061491,0.4805144,0.5155429,0.850852,1,0.1091356,0.9213682
71,0.2962372,0.7389343,0.6071578,0.4852983,0.5198684,0.8462201,1,0.1027306,0.9186418
73,0.3004581,0.7300776,0.6102578,0.4900925,0.5220221,0.8419311,1,0.09992332,0.9166265
74,0.306527,0.7191058,0.6116993,0.4917025,0.5257112,0.837702,1,0.1007392,0.9144652
75,0.3091405,0.7062123,0.6123472,0.4945592,0.5283835,0.8340136,1,0.1051708,0.9128318
76,0.3128934,0.6921542,0.6124018,0.5003653,0.5303328,0.8334861,1,0.1131781,0.9110734
77,0.3147285,0.6771237,0.6138094,0.5011965,0.5328361,0.8327384,1,0.1246885,0.909555
78,0.3186658,0.6623074,0.6144223,0.504711,0.5338327,0.8323714,1,0.1395977,0.9081963
79,0.3220407,0.6456577,0.613274,0.5049633,0.5360712,0.8326806,1,0.1577708,0.9063123
80,0.3218639,0.6283723,0.6125352,0.5069119,0.5365003,0.8352785,1,0.1790432,0.9047353
81,0.3242253,0.6109073,0.6134672,0.5085458,0.5367662,0.8360386,1,0.2032222,0.903142
82,0.3253638,0.5937129,0.6127588,0.5083652,0.5360373,0.8384725,1,0.2300888,0.9015513
83,0.3247637,0.5737212,0.6120383,0.5068635,0.5362359,0.8439686,1,0.2593999,0.8998365
85,0.3241576,0.5539365,0.6108106,0.5050028,0.5364899,0.8494613,1,0.2908898,0.8982877
86,0.3226953,0.5355325,0.609523,0.5023366,0.5359996,0.8566238,1,0.3242734,0.8967245
87,0.321197,0.5152315,0.6078882,0.5000654,0.5350087,0.8637305,1,0.3592485,0.8947084
88,0.319703,0.4927542,0.6052057,0.4969604,0.5335141,0.8719362,1,0.3954983,0.8934773
89,0.3177014,0.4709653,0.6022481,0.4922718,0.5322568,0.8806542,1,0.4326943,0.8926719
90,0.3146164,0.4499059,0.5991063,0.4879868,0.5316565,0.8898966,1,0.4705,0.8913041
91,0.3129068,0.4278968,0.5959373,0.4831126,0.5303873,0.8970188,1,0.5085729,0.8901885
92,0.3102472,0.4041094,0.59274,0.4783865,0.5293559,0.9053261,1,0.5465679,0.8896262
93,0.3076036,0.3797669,0.5899417,0.4730715,0.5278203,0.9136435,1,0.5841414,0.8893463
94,0.3054205,0.3579105,0.5866892,0.4681589,0.5262743,0.92099,1,0.6209526,0.8895276
95,0.3031599,0.3369996,0.5834056,0.4626511,0.524718,0.9281222,1,0.656669,0.8898476
97,0.301787,0.3161129,0.5804987,0.457549,0.523151,0.9337736,1,0.6909869,0.8902831
98,0.3005137,0.2973209,0.5774073,0.4525929,0.5215734,0.9403329,1,0.7237105,0.8908566
99,0.2988636,0.2819235,0.5740396,0.4472914,0.5199854,0.9461865,1,0.754661,0.8917955
100,0.2973186,0.2668975,0.5713849,0.4418966,0.5186026,0.9523687,1,0.7837368,0.8921672
101,0.2968296,0.2545355,0.5682109,0.4363949,0.5172429,0.9576109,1,0.8108327,0.8922573
102,0.2944315,0.2425017,0.565012,0.4307893,0.5161206,0.9628503,1,0.8359547,0.892199
103,0.2915817,0.228986,0.5615388,0.4250771,0.5149912,0.966773,1,0.8591058,0.8921469
104,0.2907451,0.2193595,0.5582804,0.4192614,0.5133595,0.9717602,1,0.8803738,0.8918327
105,0.2882142,0.2091719,0.5553402,0.4133314,0.5119669,0.9761884,1,0.8997528,0.891378
106,0.2852194,0.2002539,0.5519698,0.407532,0.5103178,0.9804648,1,0.9172001,0.8908558
107,0.2817566,0.1962441,0.548627,0.4011276,0.5088602,0.9842169,1,0.9326692,0.8899887
109,0.2805382,0.1946864,0.5454814,0.3948644,0.5081375,0.9872557,1,0.9462081,0.8892517
110,0.277609,0.1970881,0.5420827,0.3882557,0.5064645,0.9896953,0.9999847,0.9578603,0.8883939
111,0.2739587,0.2029881,0.5386611,0.3820478,0.5050279,0.9906617,0.9998472,0.9676822,0.8876372
112,0.2718129,0.2136256,0.5352217,0.3750139,0.5042893,0.9907176,0.9994727,0.975856,0.8865119
113,0.2677074,0.2237304,0.5317664,0.3678947,0.5025946,0.9905957,0.9986905,0.9824873,0.8852381
114,0.2636079,0.2375531,0.5285487,0.3609839,0.5013535,0.9897753,0.9973472,0.9876993,0.8838728
115,0.2602623,0.2529841,0.5255408,0.3545024,0.4998886,0.9888602,0.995211,0.9916585,0.8823161
116,0.2559425,0.2787913,0.5227547,0.3479136,0.4984137,0.9880818,0.9920766,0.994557,0.8810378
117,0.2540939,0.3018755,0.5197356,0.341577,0.4971761,0.9859751,0.9876668,0.9966927,0.8793836
118,0.2532724,0.3285497,0.5160108,0.3356128,0.4959316,0.9835169,0.9818323,0.9982178,0.8779662
119,0.2546829,0.3542695,0.5130258,0.3299708,0.4949287,0.9831773,0.9744846,0.9991874,0.8762536
121,0.2564154,0.3878101,0.5095531,0.3258633,0.493177,0.98036,0.9655781,0.999709,0.8745265
122,0.2587672,0.413878,0.5062984,0.3220444,0.4921212,0.9784547,0.9550197,0.9999244,0.8725801
123,0.2597305,0.4422678,0.5028331,0.3166408,0.4915703,0.9774146,0.9427263,0.999997,0.8711074
124,0.2620638,0.4724858,0.5001487,0.3142175,0.4902068,0.9755964,0.9286569,1,0.8692937
125,0.2655521,0.5074399,0.4974699,0.3106787,0.4894198,0.9738169,0.912673,1,0.8677512
126,0.2734545,0.53581,0.4956699,0.3101368,0.4893608,0.9709364,0.8947272,1,0.8661475
127,0.2820705,0.5618064,0.4950929,0.3110183,0.4892572,0.9663646,0.8748052,1,0.8642299
128,0.2899642,0.5902802,0.4949545,0.3137763,0.4891741,0.9614219,0.8528744,1,0.8627194
129,0.3003504,0.614306,0.4935184,0.3170021,0.4888872,0.9595374,0.8289135,1,0.861042
130,0.3145331,0.6345921,0.4943419,0.3193501,0.4885993,0.9536783,0.8028151,1,0.8595541
131,0.3234387,0.6533563,0.4947173,0.3225692,0.4894438,0.9482136,0.7746206,1,0.8581352
133,0.3347529,0.6725575,0.495672,0.3272706,0.4891413,0.9424593,0.7445244,1,0.8562971
134,0.3511162,0.6870737,0.4983023,0.3334233,0.4889601,0.9355954,0.7126749,1,0.8543493
135,0.3673672,0.7093675,0.4994066,0.3420129,0.4891714,0.9271669,0.6792316,1,0.8528125
136,0.3850946,0.7229931,0.5016259,0.3486752,0.4888967,0.920593,0.6443201,1,0.8511764
137,0.4067551,0.7344388,0.5046139,0.3582187,0.4890915,0.9108269,0.6081765,1,0.8497347
138,0.4242063,0.7434765,0.5073318,0.3682681,0.4897749,0.9006948,0.57106,1,0.8481693
139,0.4394797,0.7487906,0.5101856,0.3791498,0.4887548,0.8926234,0.5332999,1,0.8463831
140,0.4548426,0.7561195,0.5130404,0.3904359,0.4887176,0.8809284,0.4952384,1,0.8439188
141,0.4721899,0.7546626,0.5175051,0.4025016,0.4903792,0.8678175,0.45722,1,0.8422066
142,0.4874612,0.751993,0.5233277,0.4147817,0.4913592,0.8567483,0.419589,1,0.8403562
143,0.5029505,0.7441313,0.5287406,0.4265046,0.4918108,0.8461049,0.3826861,1,0.838495
